TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set1-1 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,15,Boundary,CR ≤ 0 and CR/PR ≤ 1,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,15,Sample Size,15,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,25,Boundary,CR ≤ 1 and CR/PR ≤ 2,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,25,Sample Size,25,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,35,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,35,Boundary,CR ≤ 1 and CR/PR ≤ 4,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,35,Sample Size,35,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,45,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,45,Boundary,CR ≤ 2 and CR/PR ≤ 5,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,45,Sample Size,45,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,55,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,55,Boundary,CR ≤ 3 and CR/PR ≤ 7,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,55,Sample Size,55,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,65,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,65,Boundary,CR ≤ 4 and CR/PR ≤ 8,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,65,Sample Size,65,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,95,Action,Early Stopping for Low Efficacy,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,95,Boundary,CR ≤ 7 and CR/PR ≤ 13,20260922T141723_527fc0,,
Result - set1-1 | Early Stopping Boundaries,95,Sample Size,95,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,15,Cumulative Early Stop,0.316,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,15,Early Stop,0.316,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,15,Sample Size,15,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,25,Cumulative Early Stop,0.432,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,25,Early Stop,0.116,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,25,Sample Size,25,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,35,Cumulative Early Stop,0.487,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,35,Early Stop,0.055,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,35,Sample Size,35,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,45,Cumulative Early Stop,0.555,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,45,Early Stop,0.068,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,45,Sample Size,45,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,55,Cumulative Early Stop,0.645,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,55,Early Stop,0.09,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,55,Sample Size,55,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,65,Cumulative Early Stop,0.701,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,65,Early Stop,0.056,20260922T141723_527fc0,,
Result - set1-1 | Frequency of Early Stopping,65,Sample Size,65,20260922T141723_527fc0,,
Result - set1-1 | Operating Characteristics,0.186,Average Sample Size,49.665,20260922T141723_527fc0,,
Result - set1-1 | Operating Characteristics,0.186,Early Stop,0.7,20260922T141723_527fc0,,
Result - set1-1 | Operating Characteristics,0.186,Positive Trial,0.186,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Phase,Parameter,Phase,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Phase,Value,2,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Study Objective,Parameter,Study Objective,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Target Population,Parameter,Target Population,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Target Population,Value,Adult,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Treatment Arm,Parameter,Treatment Arm,20260922T141723_527fc0,,
Result - set1-1 | Plan #1,Treatment Arm,Value,EXP,20260922T141723_527fc0,,
Result - set1-1 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260922T141723_527fc0,,
Result - set1-1 | Plan #2,Endpoint Name,Value,EP1,20260922T141723_527fc0,,
Result - set1-1 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260922T141723_527fc0,,
Result - set1-1 | Plan #2,Endpoint Type,Value,Categorical,20260922T141723_527fc0,,
Result - set1-1 | Plan #2,Priority,Parameter,Priority,20260922T141723_527fc0,,
Result - set1-1 | Plan #2,Priority,Value,Primary,20260922T141723_527fc0,,
